raw_name,standard_name,foreign_name,years,original_note,references,source_pdf,source_page,needs_review
"扎伊策夫","","","","背•阿•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎巴拉","","","","弗•伊•• 894","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎伊奇涅大斯基","","","","復•格•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎波罗热茨","","","","彼•库• 894 簪子⋯","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎东斯基","","","","弗•彼• 894","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"赞德尔斯","","","","丹•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎东斯基","","","","米•巴• 894","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"泽尔","","","","理•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎尔金德","","","","罗•萨• 894","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"泽格","","","","约•弗•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎尔金德","","","","伊•阿• 894","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"泽勒尔","","","","爱•⋯","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎尔科","","","","阿•姆• 895 詹姆斯⋯ 夫• 895","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"簷姆斯","","","","威• 扎哥尔斯基⋯ 895","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"张伯伦","","","","豪•斯•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎哥尔斯基","","","","弗•米• 895","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"张伯伦","","","","约•⋯ 扎哥尔斯卡娅• 895 正统派⋯","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎哈罗夫","","","","米•瓦•⋯ 895 芝加哥人","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎克","","","","萨•谢• 895 芝诺","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎克尔热夫斯基","","","","尤•弗• 896 织针","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎克斯","","","","贝•享• 896 志愿兵•","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎克斯","","","","格• 德•⋯ 896 中平良⋯","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
"扎克斯","","","","萨•马• 896","","列宁全集俄文 第5版 人名索引 (河北大学外语系俄语翻译组译) (z-library.sk, 1lib.sk, z-lib.sk).pdf","88","true"
